F#,1,6,4
Python,4,7,7
Python,1,2,4
Python,1,5,1
R,1,2,3
SQL,1,6,4
Python,1,1,6
Python,1,6,4
Python,1,5,7
R,1,6,1
Python,1,6,2
R,4,6,4
Java,4,10,2
Python,2,10,1
Matlab,1,10,4
Python,2,8,1
Matlab,1,6,7
Python,1,3,7
R,1,6,5
Python,1,5,2
Python,4,5,4
Python,1,1,4
Python,1,6,5
Python,1,5,2
Python,1,6,3
Python,1,6,4
Python,1,6,4
Python,1,8,7
Python,3,6,2
Python,1,5,2
Python,1,5,4
R,1,5,2
Python,2,5,4
Python,4,6,1
Python,1,10,7
SAS,1,10,1
Python,1,8,2
Stata,1,10,3
Python,4,8,4
Python,2,10,4
Python,1,3,2
Python,4,6,7
R,1,5,4
R,4,11,4
Python,1,5,2
Python,1,5,5
Python,2,10,4
R,1,5,7
Python,4,6,3
Python,1,10,4
Python,4,5,2
Python,1,5,3
Python,1,6,2
Python,1,8,4
Python,1,6,2
R,1,10,7
R,1,10,1
Other,1,8,3
R,1,9,2
Python,1,10,1
R,1,5,1
R,1,10,1
Python,1,1,2
R,1,6,7
R,1,9,2
Python,1,6,2
Python,4,5,7
Python,1,8,4
Stata,2,3,4
Python,1,6,4
Python,1,6,2
Java,1,3,2
Python,1,6,4
Java,2,10,6
Python,1,2,1
Python,1,5,2
Python,1,10,1
Python,4,5,1
Python,1,10,4
R,1,1,2
Python,4,5,4
Python,1,6,4
R,4,1,2
Python,1,8,2
R,1,1,2
Python,1,6,2
Python,1,10,1
SQL,1,3,3
Python,4,5,2
Python,2,1,4
R,1,6,2
Python,1,8,4
SQL,1,3,4
Python,4,6,4
Python,1,6,4
Other,1,6,2
Python,4,5,1
Python,4,6,6
Python,1,6,2
R,2,8,2
R,4,6,2
Python,4,5,4
Julia,1,10,1
SQL,1,8,7
R,1,10,3
Python,1,10,1
Python,2,8,2
Python,1,6,4
SAS,2,5,2
Python,1,10,2
R,1,10,1
Python,1,10,1
R,1,5,7
Python,1,10,2
SAS,1,5,4
Python,2,4,2
Python,1,5,1
Python,1,1,4
Python,1,5,4
Python,1,6,4
R,1,3,3
R,1,5,7
R,1,6,7
Python,1,10,1
Python,4,3,4
Python,1,5,4
Python,4,1,2
R,1,3,2
Python,1,1,2
Python,1,6,3
Python,1,6,2
Python,4,2,2
R,2,10,1
R,1,10,1
Python,2,5,4
R,1,3,7
Python,1,3,4
Python,4,10,7
R,2,5,1
Python,1,5,4
Python,4,5,6
Python,1,6,2
Python,1,6,2
R,2,1,2
Python,1,6,2
Python,1,6,1
Python,1,6,7
R,1,8,7
Python,1,6,7
Python,1,8,2
Python,1,6,7
R,1,8,7
Python,1,3,2
R,1,6,4
Python,1,6,7
R,1,5,4
Python,1,6,4
Python,1,8,5
R,4,9,4
R,1,8,5
Python,4,5,4
Python,1,3,2
Python,1,2,4
Python,1,6,4
Python,4,6,4
Python,1,6,6
Python,2,8,2
Python,1,6,4
Python,1,6,2
Python,1,8,3
Python,1,3,2
Python,1,10,1
R,1,5,2
Python,1,5,7
Python,4,10,7
Python,1,8,4
Python,3,10,3
R,1,8,2
Python,4,8,7
Python,1,5,7
Python,1,6,1
R,1,1,7
R,1,5,4
Python,4,6,2
Python,1,5,2
Python,2,6,3
SQL,1,6,4
Python,4,6,3
SQL,1,5,2
Python,2,6,4
Python,1,10,7
Python,1,6,4
R,1,5,2
SQL,1,5,7
Python,1,6,4
Python,1,1,2
R,2,6,2
R,1,10,1
Python,1,10,1
C/C++/C#,1,6,5
R,1,6,7
SQL,4,6,4
SQL,1,1,2
Python,1,6,7
Python,4,6,1
Python,1,10,2
Other,1,6,4
Python,2,6,4
R,1,8,7
Python,1,10,1
R,1,1,4
Python,1,10,1
Python,4,8,2
Python,4,8,7
Python,1,5,4
Python,1,8,2
R,1,10,1
Python,4,8,4
SQL,2,10,4
Python,1,3,5
R,4,3,2
R,4,1,7
R,4,5,3
Python,1,8,3
Python,4,6,2
Stata,1,10,1
Python,1,6,7
Python,1,10,2
R,1,3,3
Other,1,6,1
SQL,1,1,4
Python,1,6,7
Python,1,6,7
R,1,5,4
Python,1,8,3
SAS,1,3,6
Scala,1,5,2
R,4,9,7
C/C++/C#,1,6,4
C/C++/C#,1,8,2
Scala,1,6,4
Python,1,3,1
Python,1,6,2
Python,1,6,2
R,4,8,7
Python,1,5,2
Python,1,1,2
Matlab,1,8,7
R,4,11,5
Python,1,6,2
Python,1,10,1
R,2,6,1
Python,1,3,2
Python,1,5,4
Python,1,10,1
R,4,5,7
Python,1,5,4
Python,1,6,4
Python,1,5,4
Python,1,9,7
Python,4,6,7
Python,1,2,4
Python,4,1,7
Python,1,6,2
Python,1,5,7
Python,4,5,2
Python,4,6,2
Python,1,8,4
R,1,5,1
R,1,9,2
Python,1,6,3
Python,2,6,7
Python,1,6,4
Python,1,2,4
R,1,8,7
Python,1,8,4
Python,1,1,2
Python,1,9,2
R,1,5,4
Python,1,6,3
Python,4,6,2
Python,2,5,2
R,1,11,1
Python,2,5,4
Matlab,1,6,3
Python,1,6,4
R,2,10,1
SQL,1,6,4
Python,1,1,7
R,4,11,1
Python,1,5,4
Python,1,3,4
Python,1,3,2
Python,1,8,4
Python,1,6,7
Python,1,1,4
Python,1,5,4
Matlab,4,4,2
R,1,5,7
Python,1,8,4
R,1,3,5
R,1,3,4
Python,1,5,4
SQL,1,3,6
R,1,3,4
Scala,1,6,2
Python,1,8,7
R,1,6,2
Python,1,5,4
R,1,5,2
Python,1,6,4
SQL,1,3,1
Python,1,6,2
R,1,5,7
R,4,5,7
R,1,5,2
R,1,8,7
Python,1,6,4
Python,1,5,7
R,1,9,4
Python,1,6,4
Python,1,3,3
Python,1,6,4
R,4,5,2
R,1,5,2
R,1,6,3
Python,2,10,4
Python,2,8,6
Python,1,10,1
Python,1,1,7
Python,1,3,2
Python,1,6,4
Python,1,10,1
Python,1,1,2
Python,1,10,5
SQL,1,8,7
Python,1,10,1
Python,4,10,4
C/C++/C#,1,3,2
C/C++/C#,3,1,7
Python,1,1,7
Python,1,5,4
R,1,1,2
Matlab,1,6,4
R,1,10,1
Python,1,3,4
SQL,1,3,2
Python,2,10,4
R,1,3,2
Python,1,6,2
Python,2,4,1
C/C++/C#,2,6,7
Other,1,2,3
SQL,1,6,4
R,1,3,2
Python,1,5,2
Python,1,8,7
SQL,1,5,2
R,1,6,4
Python,1,6,4
Python,1,6,7
Python,1,5,4
Python,1,8,3
Python,1,1,2
Java,1,6,4
R,1,8,7
Python,1,3,4
Python,1,6,4
R,1,5,4
R,4,6,2
Java,1,6,2
Scala,1,6,4
R,1,6,2
R,1,3,4
R,2,8,2
Python,1,1,3
R,1,5,4
R,2,1,4
Python,1,5,7
SQL,1,8,3
R,1,9,3
Java,4,6,6
SQL,1,6,2
Python,1,8,4
SQL,1,3,2
Python,4,3,6
Python,1,6,4
Python,4,6,4
Matlab,1,6,2
Python,1,5,7
R,4,3,7
Python,1,8,2
Python,1,2,4
Python,1,5,4
R,1,1,4
SQL,2,9,6
Python,2,10,1
Python,1,8,4
Python,4,8,4
Python,1,8,2
Java,1,5,4
Python,1,8,1
R,1,3,2
